batter,player_name,birth_date,bats,throws
408234,Miguel Cabrera,1983-04-18,R,R
425794,Adam Wainwright,1981-08-30,R,R
444482,David Peralta,1987-08-14,L,L
446334,Evan Longoria,1985-10-07,R,R
453568,Charlie Blackmon,1986-07-01,L,L
455117,Martín Maldonado,1986-08-16,R,R
456781,Donovan Solano,1987-12-17,R,R
457705,Andrew McCutchen,1986-10-10,R,R
457759,Justin Turner,1984-11-23,R,R
458015,Joey Votto,1983-09-10,L,R
462101,Elvis Andrus,1988-08-26,R,R
467793,Carlos Santana,1986-04-08,S,R
474832,Brandon Belt,1988-04-20,L,L
488726,Michael Brantley,1987-05-15,L,L
493329,Yuli Gurriel,1984-06-09,R,R
500743,Miguel Rojas,1989-02-24,R,R
500871,Eduardo Escobar,1989-01-05,S,R
501303,Ehire Adrianza,1989-08-21,S,R
501659,Abraham Almonte,1989-06-27,S,R
502054,Tommy Pham,1988-03-08,R,R
502110,J.D. Martinez,1987-08-21,R,R
502671,Paul Goldschmidt,1987-09-10,R,R
506702,Sandy León,1989-03-13,S,R
514888,Jose Altuve,1990-05-06,R,R
516416,Jean Segura,1990-03-17,R,R
516782,Starling Marte,1988-10-09,R,R
518586,Charlie Culberson,1989-04-10,R,R
518595,Travis d'Arnaud,1989-02-10,R,R
518626,Josh Donaldson,1985-12-08,R,R
518692,Freddie Freeman,1989-09-12,L,R
518735,Yasmani Grandal,1988-11-08,S,R
518792,Jason Heyward,1989-08-09,L,L
518934,DJ LeMahieu,1988-07-13,R,R
519058,Mike Moustakas,1988-09-11,L,R
519203,Anthony Rizzo,1989-08-08,L,L
519317,Giancarlo Stanton,1989-11-08,R,R
521692,Salvador Perez,1990-05-10,R,R
527038,Wilmer Flores,1991-08-06,R,R
541645,Avisaíl García,1991-06-12,R,R
542194,Christian Bethancourt,1991-09-02,R,R
542208,Carlos Pérez,1990-10-27,R,R
542303,Marcell Ozuna,1990-11-12,R,R
542364,Rafael Ortega,1991-05-15,L,R
542932,Jon Berti,1990-01-22,R,R
542963,Rob Brantly,1989-07-14,L,R
543063,Brandon Crawford,1987-01-21,L,R
543068,C.J. Cron,1990-01-05,R,R
543228,Yan Gomes,1987-07-19,R,R
543257,Robbie Grossman,1989-09-16,S,L
543281,Josh Harrison,1987-07-08,R,R
543305,Aaron Hicks,1989-10-02,S,R
543309,Kyle Higashioka,1990-04-20,R,R
543510,James McCann,1990-06-13,R,R
543518,Scott McGough,1989-10-31,R,R
543543,Brad Miller,1989-10-18,L,R
543592,Austin Nola,1989-12-28,R,R
543685,Anthony Rendon,1990-06-06,R,R
543760,Marcus Semien,1990-09-17,R,R
543807,George Springer,1989-09-19,R,R
543877,Christian Vázquez,1990-08-21,R,R
543939,Kolten Wong,1990-10-10,L,R
545121,Ildemaro Vargas,1991-07-16,S,R
545341,Randal Grichuk,1991-08-13,R,R
545350,Jake Marisnick,1991-03-30,R,R
545361,Mike Trout,1991-08-07,R,R
547180,Bryce Harper,1992-10-16,L,R
547989,José Abreu,1987-01-29,R,R
553869,Elias Díaz,1990-11-17,R,R
553882,Omar Narváez,1992-02-10,L,R
553993,Eugenio Suárez,1991-07-18,R,R
570482,Gio Urshela,1991-10-11,R,R
571448,Nolan Arenado,1991-04-16,R,R
571466,Tucker Barnhart,1991-01-07,L,R
571657,Kyle Farmer,1990-08-17,R,R
571745,Mitch Haniger,1990-12-23,R,R
571771,Enrique Hernández,1991-08-24,R,R
571912,Luke Maile,1991-02-06,R,R
571945,Miles Mikolas,1988-08-23,R,R
571970,Max Muncy,1990-08-25,L,R
571980,Tyler Naquin,1991-04-24,L,R
572041,AJ Pollock,1987-12-05,R,R
572138,Jon Singleton,1991-09-18,L,L
572191,Michael A. Taylor,1991-03-26,R,R
572204,Trayce Thompson,1991-03-15,R,R
572233,Christian Walker,1991-03-28,R,R
572761,Matt Carpenter,1985-11-26,L,R
572816,Corey Dickerson,1989-05-22,L,R
573262,Mike Yastrzemski,1990-08-23,L,L
575929,Willson Contreras,1992-05-13,R,R
578428,Jose Iglesias,1990-01-05,R,R
578570,Juniel Querecuto,1992-09-19,S,R
592178,Kris Bryant,1992-01-04,R,R
592192,Mark Canha,1989-02-15,R,R
592200,Curt Casali,1988-11-09,R,R
592206,Nick Castellanos,1992-03-04,R,R
592273,Brandon Drury,1992-08-21,R,R
592325,Ben Gamel,1992-05-17,L,L
592348,Niko Goodrum,1992-02-28,S,R
592450,Aaron Judge,1992-04-26,R,R
592518,Manny Machado,1992-07-06,R,R
592626,Joc Pederson,1992-04-21,L,L
592656,Henry Ramos,1992-04-15,S,R
592663,J.T. Realmuto,1991-03-18,R,R
592669,Hunter Renfroe,1992-01-28,R,R
592696,Eddie Rosario,1991-09-28,L,R
592885,Christian Yelich,1991-12-05,L,R
593160,Whit Merrifield,1989-01-24,R,R
593428,Xander Bogaerts,1992-10-01,R,R
593871,Jorge Polanco,1993-07-05,S,R
593934,Miguel Sanó,1993-05-11,R,R
594777,Kole Calhoun,1987-10-14,L,L
594807,Adam Duvall,1988-09-04,R,R
595281,Kevin Kiermaier,1990-04-22,L,R
595284,Andrew Knapp,1991-11-09,S,R
595453,Chad Wallach,1991-11-04,R,R
595751,Jorge Alfaro,1993-06-11,R,R
595777,Jurickson Profar,1993-02-20,S,R
595879,Javier Báez,1992-12-01,R,R
595909,Jake Cave,1992-12-04,L,L
595956,Cam Gallagher,1992-12-06,R,R
595978,Austin Hedges,1992-08-18,R,R
596019,Francisco Lindor,1993-11-14,S,R
596059,Rougned Odor,1994-02-03,L,R
596103,Austin Slater,1992-12-13,R,R
596115,Trevor Story,1992-11-15,R,R
596117,Garrett Stubbs,1993-05-26,L,R
596129,Daniel Vogelbach,1992-12-17,L,R
596142,Gary Sánchez,1992-12-02,R,R
596146,Max Kepler,1993-02-10,L,L
596847,Ji Man Choi,1991-05-19,L,R
600301,Taylor Motter,1989-09-18,R,R
600869,Jeimer Candelario,1993-11-24,S,R
602104,Ramón Urías,1994-06-03,R,R
605113,Nick Ahmed,1990-03-15,R,R
605119,Brian Anderson,1993-05-19,R,R
605131,Austin Barnes,1989-12-28,R,R
605137,Josh Bell,1992-08-14,S,R
605141,Mookie Betts,1992-10-07,R,R
605170,Victor Caratini,1993-08-17,S,R
605204,J.D. Davis,1993-04-27,R,R
605244,Aramis Garcia,1993-01-12,R,R
605346,Jack López,1992-12-16,R,R
605353,Vimael Machín,1993-09-25,L,R
605361,Nick Martini,1990-06-27,L,L
605421,Michael Pérez,1992-08-07,L,R
605612,Harold Castro,1993-11-30,L,R
606115,Orlando Arcia,1994-08-04,R,R
606132,Raimel Tapia,1994-02-04,L,L
606192,Teoscar Hernández,1992-10-15,R,R
606466,Ketel Marte,1993-10-12,S,R
606992,Eric Haase,1992-12-18,R,R
607043,Brandon Nimmo,1993-03-27,L,R
607054,Jace Peterson,1990-05-09,L,R
607067,Colin Rea,1990-07-01,R,R
607208,Trea Turner,1993-06-30,R,R
607461,Matt Beaty,1993-04-28,L,R
607680,Kevin Pillar,1989-01-04,R,R
607732,Jacob Stallings,1989-12-22,R,R
608070,José Ramírez,1992-09-17,S,R
608324,Alex Bregman,1994-03-30,R,R
608336,Joey Gallo,1993-11-19,L,R
608348,Carson Kelly,1994-07-14,R,R
608369,Corey Seager,1994-04-27,L,R
608385,Jesse Winker,1993-08-17,L,L
608596,Tom Murphy,1991-04-03,R,R
608671,Travis Jankowski,1991-06-15,L,R
608701,Rob Refsnyder,1991-03-26,R,R
608841,Joey Meneses,1992-05-06,R,R
609280,Miguel Andujar,1995-03-02,R,R
613564,Jason Vosler,1993-09-06,L,R
614173,Franchy Cordero,1994-09-02,L,R
620443,Luis Torrens,1996-05-02,R,R
621020,Dansby Swanson,1994-02-11,R,R
621028,Kevin Newman,1993-08-04,R,R
621035,Chris Taylor,1990-08-29,R,R
621043,Carlos Correa,1994-09-22,R,R
621311,David Dahl,1994-04-01,L,R
621433,Brett Phillips,1994-05-30,L,R
621438,Tyrone Taylor,1994-01-22,R,R
621439,Byron Buxton,1993-12-18,R,R
621458,Edwin Rios,1994-04-21,L,R
621466,DJ Stewart,1993-11-30,L,R
621493,Taylor Ward,1993-12-14,R,R
621512,Tomás Nido,1994-04-12,R,R
621545,Zach Remillard,1994-02-21,R,R
621550,Patrick Wisdom,1991-08-27,R,R
621563,Joey Wendle,1990-04-26,L,R
621566,Matt Olson,1994-03-29,L,R
622110,Matt Duffy,1991-01-15,R,R
622268,Donovan Walton,1994-05-25,L,R
622491,Luis Castillo,1992-12-12,R,R
622534,Manuel Margot,1994-09-28,R,R
622569,Pablo Reyes,1993-09-05,R,R
622666,Johan Camargo,1993-12-13,S,R
622761,Jorge Mateo,1995-06-23,R,R
623168,Tyler Heineman,1991-06-19,S,R
623205,Andrew Velazquez,1994-07-14,S,R
623520,David Bote,1993-04-07,R,R
623912,Harold Ramírez,1994-09-06,R,R
623993,Anthony Santander,1994-10-19,S,R
624413,Pete Alonso,1994-12-07,R,R
624414,Christian Arroyo,1995-05-30,R,R
624415,Cavan Biggio,1995-04-11,L,R
624424,Michael Conforto,1993-03-01,L,R
624428,Adam Frazier,1991-12-14,L,R
624431,Jose Trevino,1992-11-28,R,R
624503,Nick Gordon,1995-10-24,L,R
624512,Reese McGuire,1995-03-02,L,R
624513,Dom Nuñez,1995-01-17,L,R
624585,Jorge Soler,1992-02-25,R,R
624641,Edmundo Sosa,1996-03-06,R,R
628451,Andy Ibáñez,1993-04-03,R,R
630105,Jake Cronenworth,1994-01-21,L,R
640459,Brian Navarreto,1994-12-29,R,R
640492,José Azócar,1996-05-11,R,R
640902,Jhonny Pereda,1996-04-18,R,R
641302,Tyler Alexander,1994-07-14,R,L
641313,Tim Anderson,1993-06-23,R,R
641343,Jake Bauers,1995-10-06,L,L
641355,Cody Bellinger,1995-07-13,L,L
641432,Willie Calhoun,1994-11-04,L,R
641470,Zack Collins,1995-02-06,L,R
641487,J.P. Crawford,1995-01-11,L,R
641511,Jason Delay,1995-03-07,R,R
641525,Brandon Dixon,1992-01-29,R,R
641555,J.C. Escarra,1995-04-24,L,R
641584,Jake Fraley,1995-05-25,L,L
641598,Mitch Garver,1991-01-15,R,R
641645,Luis Guillorme,1994-09-27,L,R
641658,Garrett Hampson,1994-10-10,R,R
641680,Jonah Heim,1995-06-27,S,R
641779,Charles Leblanc,1996-06-03,R,R
641786,Kyle Lewis,1995-07-13,R,R
641796,Tim Locastro,1992-07-14,R,R
641820,Trey Mancini,1992-03-18,R,R
641856,Billy McKinney,1994-08-23,L,L
641857,Ryan McMahon,1994-12-14,L,R
641933,Tyler O'Neill,1995-06-22,R,R
641943,Joshua Palacios,1995-07-30,L,R
642020,Chuckie Robinson,1994-12-14,R,R
642086,Dominic Smith,1995-06-15,L,L
642133,Rowdy Tellez,1995-03-16,L,L
642136,Matt Thaiss,1995-05-06,L,R
642137,Cody Thomas,1994-10-08,L,R
642180,Tyler Wade,1994-11-23,L,R
642197,Jamie Westbrook,1995-06-18,R,R
642201,Eli White,1994-06-26,R,R
642215,Weston Wilson,1994-09-11,R,R
642336,Francisco Mejía,1995-10-27,S,R
642350,Jose Siri,1995-07-22,R,R
642708,Amed Rosario,1995-11-20,R,R
642715,Willy Adames,1995-09-02,R,R
642727,Sergio Alcántara,1996-07-10,S,R
642731,Thairo Estrada,1996-02-22,R,R
642851,Austin Wynns,1990-12-10,R,R
643217,Andrew Benintendi,1994-07-06,L,L
643265,Garrett Cooper,1990-12-25,R,R
643289,Mauricio Dubón,1994-07-19,R,R
643376,Danny Jansen,1995-04-15,R,R
643393,Tony Kemp,1991-10-31,L,R
643396,Isiah Kiner-Falefa,1995-03-23,R,R
643446,Jeff McNeil,1992-04-08,L,R
643565,Mike Tauchman,1990-12-03,L,L
644374,Yu Chang,1995-08-18,R,R
644433,Chadwick Tromp,1995-03-21,R,R
645277,Ozzie Albies,1997-01-07,S,R
645302,Victor Robles,1997-05-19,R,R
645305,Ali Sánchez,1997-01-20,R,R
645444,Jose Herrera,1997-02-24,S,R
645801,Mike Ford,1992-07-04,L,R
646240,Rafael Devers,1996-10-24,L,R
647304,Josh Naylor,1997-06-22,L,L
647351,Abraham Toro,1996-12-20,S,R
649557,Aledmys Díaz,1990-08-01,R,R
649966,Luis Urías,1997-06-03,R,R
650333,Luis Arraez,1997-04-09,L,R
650391,Eloy Jiménez,1996-11-27,R,R
650402,Gleyber Torres,1996-12-13,R,R
650489,Willi Castro,1997-04-24,S,R
650490,Yandy Díaz,1991-08-08,R,R
650559,Bryan De La Cruz,1996-12-16,R,R
650859,Luis Rengifo,1997-02-26,S,R
650907,René Pinto,1996-11-02,R,R
650968,Yohel Pozo,1997-06-14,R,R
655316,Andruw Monasterio,1997-05-30,R,R
656024,Carlos Pérez,1996-09-10,R,R
656180,Riley Adams,1996-06-26,R,R
656185,Greg Allen,1993-03-15,S,R
656248,Sean Bouchard,1996-05-16,R,R
656305,Matt Chapman,1993-04-28,R,R
656308,Michael Chavis,1995-08-11,R,R
656371,Isan Díaz,1996-05-27,L,R
656403,Drew Ellis,1995-12-01,R,R
656413,Stuart Fairchild,1996-03-17,R,R
656448,Stone Garrett,1995-11-22,R,R
656484,Tristan Gray,1996-03-22,L,R
656537,Derek Hill,1995-12-30,R,R
656541,Sam Hilliard,1994-02-21,L,L
656555,Rhys Hoskins,1993-03-17,R,R
656577,Alex Jackson,1995-12-25,R,R
656582,Connor Joe,1992-08-16,R,R
656669,Jordan Luplow,1993-09-26,R,R
656716,Zach McKinstry,1995-04-29,L,R
656775,Cedric Mullins,1994-10-01,L,L
656811,Ryan O'Hearn,1993-07-26,L,L
656883,Jakson Reetz,1996-01-03,R,R
656896,Emmanuel Rivera,1996-06-29,R,R
656941,Kyle Schwarber,1993-03-05,L,R
656976,Pavin Smith,1996-02-06,L,L
657041,Lane Thomas,1995-08-23,R,R
657061,Cole Tucker,1996-07-03,S,R
657077,Alex Verdugo,1996-05-15,L,L
657088,Forrest Wall,1995-11-20,L,R
657136,Connor Wong,1996-05-19,R,R
657193,Eddy Alvarez,1990-01-30,L,R
657247,Brian O'Keefe,1993-07-15,R,R
657557,Paul DeJong,1993-08-02,R,R
657656,Ramón Laureano,1994-07-15,R,R
657675,Rudy Martin Jr.,1996-01-31,L,L
