endpoint,model,training_pitches,training_hitters,scaled_beta_context_logit,scaled_beta_log_pair_pitches,scaled_beta_prior_pair_contact_rate,scaled_beta_prior_pair_swing_rate,scaled_beta_current_type_SI,scaled_beta_current_type_FC,scaled_beta_current_type_SL,scaled_beta_current_type_ST,scaled_beta_current_type_CU,scaled_beta_current_type_CH,scaled_beta_current_type_FS,scaled_beta_current_type_OTHER,scaled_beta_log_type_pitches,scaled_beta_prior_type_contact_rate,scaled_beta_prior_type_swing_rate,scaled_beta_log_type_tracked,scaled_beta_prior_type_dev_mean,scaled_beta_prior_type_dev_last,scaled_beta_log_pair_type_pitches,scaled_beta_log_other_type_pitches,scaled_beta_prior_other_type_contact_rate,scaled_beta_prior_other_type_swing_rate,scaled_beta_log_other_type_tracked,scaled_beta_prior_other_type_dev_mean
contact_per_pitch,pitch_context,376534,586,0.5023874231539525,0.06441531913122336,0.05439685956031034,-0.019567349108208988,0.027027321639554385,-0.008617499292268615,-0.1169341198128757,-0.11718036083626619,-0.12675711234661366,-0.10505190022082771,-0.06038086518991684,-0.06424158297335499,,,,,,,,,,,,
contact_per_pitch,type_outcome_history,376534,586,0.4972286637262498,0.0538852268474331,0.04588651165980422,-0.02910392936032725,0.03167853203136955,-0.001948606063526841,-0.10937658650770746,-0.10902811260963798,-0.11722878914062398,-0.09644965400284504,-0.05494890727618568,-0.05839665185609942,0.034300733992548293,0.03173710073206506,0.008298610868652734,0.010814497848555012,,,,,,,,
contact_per_pitch,type_prior_mechanics,376534,586,0.4972091515304647,0.05398946096421643,0.04578958020114676,-0.028923929963356108,0.03174809107543133,-0.002019645936696483,-0.10942931214668082,-0.10905098815692271,-0.11735730196027043,-0.09657741931725936,-0.05505686568493746,-0.058421592404590134,0.03386450671030086,0.030129265674826555,0.0094110340944261,0.011684657833480225,-0.010476160780579587,,,,,,,
contact_per_pitch,type_mechanics_plus_last,376534,586,0.49723300657791597,0.05388083735569576,0.045367920517075985,-0.028251502077807633,0.03177762205154703,-0.002065382140053219,-0.10950343238701524,-0.10914359753890984,-0.11745954419775044,-0.09673415745077683,-0.05520521750814647,-0.05850573933832866,0.03303761717328188,0.030131048323321696,0.00885159022239206,0.012574985683930236,-0.014200302170485181,0.004204554685017772,,,,,,
contact_per_pitch,other_pitcher_outcomes,376534,586,0.5014479607730961,0.02805594977764526,0.06049866314558625,-0.02496486731453405,0.030607674085271413,-0.0025065217168160326,-0.11061971686507416,-0.11059925406078128,-0.11813686252414755,-0.09577058868181636,-0.05629765663904453,-0.06097054928414502,,,,,,,0.055612349520999214,-0.004147272966326007,0.009979768330716449,0.005207464150251443,0.009385774389567888,
contact_per_pitch,other_pitcher_mechanics,376534,586,0.5014311781393229,0.028053202579449425,0.06047429992934815,-0.024945239412383264,0.030581697210771606,-0.0025258357071125848,-0.11063664490171154,-0.11061931940683375,-0.11816447601440283,-0.09576828344812655,-0.05629605137990805,-0.06097708099764394,,,,,,,0.0556144152351688,-0.003924710611739107,0.009598400952398953,0.005628054140704664,0.009362648746659874,-0.00291744806509448
contact_given_swing,pitch_context,178462,585,0.35181320005871636,0.09789050289939641,0.14263770560115857,-0.08286818573504674,0.17985615124451543,-0.061470732739249315,-0.23123120534671557,-0.16891245771627447,-0.14081140542476517,-0.20406496560295265,-0.1306264226670206,-0.09256239755387545,,,,,,,,,,,,
contact_given_swing,type_outcome_history,178462,585,0.3485491438638767,0.08099344711190715,0.08354319954359883,-0.04574859999537779,0.1834385033984045,-0.05217481872214604,-0.21845198464394644,-0.15824044794001096,-0.1301279779397978,-0.1905229883817849,-0.12240910533013682,-0.08507550860736868,0.05323520385514492,0.13251837173584405,-0.07640055513309665,0.008214602301883533,,,,,,,,
contact_given_swing,type_prior_mechanics,178462,585,0.3486918568219792,0.08114103702901788,0.08294526509220208,-0.04499684328730177,0.18376797612096465,-0.05219522646783211,-0.21838766636466295,-0.15817175817725898,-0.13039246098311547,-0.1907381503374452,-0.12265521362164061,-0.08504780317334105,0.05280177757485521,0.1285868642583552,-0.0734894407884747,0.010017831729966339,-0.029428782292446866,,,,,,,
contact_given_swing,type_mechanics_plus_last,178462,585,0.34830282623972886,0.08164423649226522,0.08364963473221415,-0.04569289206031147,0.18412757194960463,-0.05203383583037017,-0.21853106650683893,-0.15798728514665022,-0.13026589880083062,-0.19060847913801715,-0.12260378048582182,-0.08495534760843688,0.05337687785292963,0.1290308315931133,-0.0732988394938814,0.009246371488822727,-0.01386337998695102,-0.01759327687296176,,,,,,
contact_given_swing,other_pitcher_outcomes,178462,585,0.35082447119289806,0.10208981801777241,0.14417329168058787,-0.08362677597914811,0.1819045043601551,-0.057200741937356574,-0.22793114811988383,-0.1651682491505962,-0.13698992167322432,-0.1996802608585041,-0.12754068769546315,-0.08952124787546963,,,,,,,0.0016424960135314347,0.018058469946381214,0.025767142537502563,-0.01752266979226435,0.014363062929001436,
contact_given_swing,other_pitcher_mechanics,178462,585,0.3508545534035588,0.10210074195430034,0.14416538745167978,-0.08360307250555042,0.18183775709382088,-0.05726580962081687,-0.22796413773874097,-0.16524853101105044,-0.13708781126287065,-0.19972586217191762,-0.12758212670448185,-0.08954835872887462,,,,,,,0.0016564261397555846,0.01801505484185018,0.024019261132980432,-0.016249752435786177,0.015037189039948691,-0.0123319193022679
