endpoint,cohort,base,candidate,pitches,hitters,games,log_loss_gain,brier_gain,game_pk_ci95_low,game_pk_ci95_high,batter_ci95_low,batter_ci95_high
contact_per_pitch,all_later,pitch_context,type_outcome_history,311722,575,1058,0.0002230852549264956,0.00011121973008099586,0.00014443602752114003,0.0003029722981381396,0.00014426909813860465,0.00030978468836066265
contact_per_pitch,all_later,type_outcome_history,type_prior_mechanics,311722,575,1058,-2.1850691092405697e-07,-1.4575915602137257e-08,-1.8137019697033053e-05,1.8875559092040495e-05,-2.3520192926208224e-05,2.425600493598288e-05
contact_per_pitch,all_later,type_prior_mechanics,type_mechanics_plus_last,311722,575,1058,-7.10502467662915e-08,-1.9533227740185132e-07,-3.422959300641441e-06,2.9436600550782306e-06,-3.4155445939189537e-06,2.910914867250589e-06
contact_per_pitch,prior_same_type_tracked,pitch_context,type_outcome_history,139919,570,1056,0.0006048309778609436,0.00028769365697083293,0.00045775040727260435,0.0007501001643312855,0.0004316606874300153,0.0007693592054769142
contact_per_pitch,prior_same_type_tracked,type_outcome_history,type_prior_mechanics,139919,570,1056,-2.3895371234786687e-06,-7.743576030356413e-07,-4.184113084943801e-05,4.015742895985092e-05,-5.098368030389907e-05,4.326249274685436e-05
contact_per_pitch,prior_same_type_tracked,type_prior_mechanics,type_mechanics_plus_last,139919,570,1056,4.946949393590743e-07,1.258818108781874e-07,-6.630196402188313e-06,7.504267958969969e-06,-6.453568535220939e-06,7.953276360369647e-06
contact_per_pitch,prior_two_same_type_tracked,pitch_context,type_outcome_history,64143,557,1056,0.0008731069870590952,0.000417185461013584,0.0005800512394089154,0.0011486706764486112,0.0005565504202557487,0.001209575888592313
contact_per_pitch,prior_two_same_type_tracked,type_outcome_history,type_prior_mechanics,64143,557,1056,4.440764639971341e-06,2.2135269507231436e-06,-4.944517413465721e-05,5.359710585502004e-05,-5.2122096370696e-05,6.909672331644175e-05
contact_per_pitch,prior_two_same_type_tracked,type_prior_mechanics,type_mechanics_plus_last,64143,557,1056,7.737641579650479e-07,2.4952491638580685e-07,-1.3579557961118489e-05,1.651530762418339e-05,-1.4953852003911701e-05,1.5875866589857687e-05
contact_given_swing,all_later,pitch_context,type_outcome_history,149681,575,1058,0.0006638450629855491,0.0002209239349824735,0.0005030043388029995,0.0008227244626060987,0.0005073898529396004,0.0008196662563828878
contact_given_swing,all_later,type_outcome_history,type_prior_mechanics,149681,575,1058,-2.8007933141177444e-06,2.6531864868910987e-06,-7.039543967884516e-05,6.242369090320861e-05,-7.705377954137954e-05,7.150923902784017e-05
contact_given_swing,all_later,type_prior_mechanics,type_mechanics_plus_last,149681,575,1058,-7.632954222865905e-06,-2.964309641758802e-06,-2.3249685499624143e-05,8.603798928511139e-06,-2.344756359644984e-05,9.136544736335353e-06
contact_given_swing,prior_same_type_tracked,pitch_context,type_outcome_history,73407,568,1056,0.0012349639873386546,0.0004128269099328617,0.0009311056137288255,0.0015495256679433056,0.0009383895841597706,0.0015145497264911663
contact_given_swing,prior_same_type_tracked,type_outcome_history,type_prior_mechanics,73407,568,1056,-9.285972805160408e-06,4.220707467311246e-06,-0.0001492768974654516,0.00013090208033686947,-0.0001596177418847757,0.0001429951822973521
contact_given_swing,prior_same_type_tracked,type_prior_mechanics,type_mechanics_plus_last,73407,568,1056,-1.4111097071699766e-05,-5.663802873924834e-06,-4.739566291475856e-05,1.8393521339724112e-05,-5.004045116929813e-05,1.8558520409460612e-05
contact_given_swing,prior_two_same_type_tracked,pitch_context,type_outcome_history,34539,554,1056,0.0016063899593358106,0.0005505084308698788,0.0011503011907253108,0.0020512311119205645,0.0011840465386494256,0.0020200223297888262
contact_given_swing,prior_two_same_type_tracked,type_outcome_history,type_prior_mechanics,34539,554,1056,1.1036089463967063e-05,1.9337391414937386e-05,-0.00015521275762013194,0.0001748169619330047,-0.00014792428878495292,0.0001989807287396701
contact_given_swing,prior_two_same_type_tracked,type_prior_mechanics,type_mechanics_plus_last,34539,554,1056,-2.7343711101945457e-05,-1.0714289746896404e-05,-0.00010100622122387397,4.272816716142175e-05,-9.710202524254215e-05,4.5133717987658236e-05
