scope,outcome,eligible_2025,eligible_2026,shared_cross_season,rho_cross_season,one_sided_permutation_p,split_2025_shared,split_2025_rho,split_2026_shared,split_2026_rho,validation_swings,gain_2026_pct,gain_ci90_low,gain_ci90_high,bh_q_positive,by_q_positive
all_pitchers,distortion,587,591,465,-0.027743033508858202,0.7146426786606697,406,0.027418820522268798,424,0.008328964664950684,278830,-0.004957811616863039,-0.009254320803323102,-0.000501616198313578,0.7146426786606698,1.0
all_pitchers,absz_attack_angle,587,591,465,0.006017057579475527,0.4267866066966517,406,0.05889732096628649,424,0.026937602821136483,278830,-0.0036319913614867236,-0.008185372119564788,0.0008063971991661569,0.5690488089288689,1.0
all_pitchers,absz_attack_direction,587,591,465,-0.0009327244864346175,0.49525237381309345,406,0.05134619617378239,424,0.024707456647853843,278830,-0.0029319335792576894,-0.00575223583997217,-0.00010135336802339192,0.5943028485757121,1.0
all_pitchers,absz_swing_path_tilt,587,591,465,0.11393393708794226,0.006496751624187906,406,0.03942150838702563,424,0.09607150447493328,278830,0.0020256294139786605,-0.002320912115611841,0.006084046592946212,0.038980509745127435,0.12096473408317486
all_pitchers,absz_bat_speed,587,591,465,0.022454133586674755,0.32033983008495753,406,0.01957703337013682,424,-0.013897560630032823,278830,0.0006187189733758295,-0.0012458932510240276,0.0023843133863228902,0.48050974512743627,1.0
all_pitchers,absz_swing_length,587,591,465,0.024853676235397464,0.28785607196401797,406,0.029441263924022545,424,0.05242921576498925,278830,-0.004545830241715791,-0.009380631043608683,0.0007588476537753859,0.48050974512743627,1.0
first_type_from_pitcher,distortion,520,515,401,0.025989317750400122,0.2928535732133933,341,0.07538866140683778,350,0.041216662993167286,100036,-0.004454946179352282,-0.014839948130391916,0.005182737790810875,0.48050974512743627,1.0
first_type_from_pitcher,absz_attack_angle,520,515,401,0.031127405367179072,0.28585707146426786,341,0.1393028456945365,350,0.06851251263858714,100036,-0.01613887182811513,-0.029295043595860732,-0.002687962428731883,0.48050974512743627,1.0
first_type_from_pitcher,absz_attack_direction,520,515,401,0.05482562251088696,0.14592703648175911,341,0.07193224565640426,350,-0.04608807302217044,100036,-0.009866787117285197,-0.020222439718551227,0.00016039888343231666,0.48050974512743627,1.0
first_type_from_pitcher,absz_swing_path_tilt,520,515,401,0.030314512226895452,0.27136431784107945,341,0.08494472337476432,350,0.06365593654991936,100036,-0.000882149619920597,-0.007189160937635952,0.005717885065502553,0.48050974512743627,1.0
first_type_from_pitcher,absz_bat_speed,520,515,401,0.1431592660140693,0.0014992503748125937,341,0.028556210259995336,350,-0.009087467769416194,100036,0.006005352364237056,-0.0003926497484438662,0.012201925865261126,0.017991004497751123,0.05582987726915762
first_type_from_pitcher,absz_swing_length,520,515,401,-0.01828990955447203,0.6541729135432284,341,0.08053076455153754,350,0.0320828741459114,100036,-0.00649119544104551,-0.015987452077754753,0.0033953520738819287,0.7136431784107946,1.0
