outcome,label,domain,n_players,raw_spearman,partial_rank_rho,partial_rank_ci95_low,partial_rank_ci95_high,partial_rank_p,information_adjusted_rho,unpooled_partial_rho,standardized_ols_beta,standardized_huber_beta,quantile_beta_25,quantile_beta_50,quantile_beta_75,cv_mse_gain_pct,favorable_direction,bh_q,maxT_p
chase_rate,Chase rate,Swing decisions,261,-0.058820521949557225,-0.012645195460604025,-0.13144366396183443,0.10960897874054605,0.8388873049801474,-0.021905874992699043,-0.025126521942327198,-0.028240850091306332,0.0031383748977394225,-0.006746196884680523,0.008919781373745307,0.011316300086432678,-0.6002189675845309,-1,0.9277685480174381,1.0
zone_swing_rate,Zone swing rate,Swing decisions,261,0.020947482805866592,0.020988433626563715,-0.11165337762132894,0.1462958950096369,0.7357489247488381,0.01195660610295014,0.020303073764577538,-0.004418259308029735,0.006015073302994429,-0.03262733694682642,-0.0008199301759349824,0.02124768793125245,-0.9556288686612409,1,0.9277685480174381,1.0
whiff_rate,Whiff rate,Bat-to-ball,261,0.08375858884521402,0.013974051417658872,-0.10333718139374046,0.13296399210077178,0.8222242753014009,0.02025590399404922,-0.010076449898467014,0.010450717957577698,0.010072387570964451,-0.0046723145571367555,0.011235267813456205,0.0067374279881918814,-0.8346605672292281,-1,0.9277685480174381,1.0
strikeout_rate,Strikeout rate,Bat-to-ball,261,0.057619423738269275,0.005638280236057907,-0.11019300478542857,0.12176070202896679,0.9277685480174381,0.014880033673931151,0.00038504514783337107,0.009445499503640698,0.0016003353956340392,0.0027656832909244973,0.004920857297823137,0.0013272146273533559,-0.9185315196923494,-1,0.9277685480174381,1.0
walk_rate,Walk rate,Plate discipline,261,0.04521269370634695,-0.009443591776609118,-0.1251964080571805,0.10291252544444254,0.8793155105027093,0.0016654585984255885,-0.00849660975807904,0.002598001332306619,0.00650605237919433,0.07002613718077123,-0.018720306121895736,-0.028253630472886065,-0.654193709906113,1,0.9277685480174381,1.0
hard_hit_rate,Hard-hit rate,Batted-ball authority,261,0.12549186358083436,0.12995261042381265,0.005086526670835255,0.24498253862471514,0.03588065981389991,0.12857509036961007,0.1233175158940486,0.07128394539215883,0.07412181203280876,0.14020053902179333,0.041886248091818554,0.08026164935624007,0.5022412641416899,1,0.14352263925559963,0.2917416516696661
barrel_rate,Barrel rate,Batted-ball authority,261,0.13301932764953994,0.08746348616375363,-0.025390968530236206,0.2127221072414186,0.15885438201402932,0.09108711623295375,0.059556732510507006,0.06828355286169518,0.040358836346202374,0.03295369672264277,0.07843649379507765,0.04932345306033258,0.07123345568838774,1,0.349842541562172,0.7816436712657469
mean_exit_velocity,Mean exit velocity,Batted-ball authority,261,0.1270010326604167,0.1386740252746787,0.01998465428507699,0.25261608206873243,0.02506303684027397,0.14124192779105582,0.1310160303599843,0.06242492291016446,0.05422946749059372,0.05972652796242434,0.02121295637163943,0.08001894906263704,0.33188440460768914,1,0.14352263925559963,0.21315736852629474
p90_exit_velocity,90th-percentile exit velocity,Batted-ball authority,261,0.11378812045483257,0.08422390885050872,-0.02836141123703472,0.19666240727128367,0.174921270781086,0.0781868128757223,0.0745677986087102,0.043970103461986876,0.03716987916057013,0.038188071752494286,0.025018911336126104,0.033860682141,0.07108366295360348,1,0.349842541562172,0.8138372325534893
xwoba_on_contact,Expected wOBA on contact,Batted-ball authority,261,0.08531529889782062,0.10235685832811418,-0.01355938081993429,0.2276763528078151,0.09893783331522926,0.10583480779827913,0.11173112706499835,0.06734592582819915,0.06645965186750155,0.03127292891053566,0.08445795453557364,0.17211001419172484,-0.057795352195803666,1,0.2968134999456878,0.5990801839632074
woba,wOBA,Overall production,261,-0.012447945140759038,-0.007705972369786969,-0.13108810610876664,0.10981897476727967,0.9013959730319894,-0.002207231573152498,-0.01737975172501865,-0.00018030504380364129,0.007458997745074346,0.07928319422867189,-0.021267586691827576,-0.06520614369173301,-0.8186896560770324,1,0.9277685480174381,1.0
mean_bat_speed,Mean bat speed,Physical swing,261,0.1298121637947908,0.14905096144713315,0.028281491183680233,0.25962281986272806,0.015956420559875742,0.1421696761177959,0.14719491179407238,0.03976759253374784,0.028384490431416443,0.008891022330806726,0.02985006150225534,0.042967000765696824,0.49702443073941305,1,0.14352263925559963,0.14297140571885622
