season,description,records
2023,automatic_ball,1059
2023,automatic_strike,74
2023,ball,106138
2023,blocked_ball,7220
2023,bunt_foul_tip,7
2023,called_strike,51478
2023,foul,57440
2023,foul_bunt,425
2023,foul_tip,3189
2023,hit_by_pitch,969
2023,hit_into_play,54866
2023,missed_bunt,78
2023,pitchout,23
2023,swinging_strike,34042
2023,swinging_strike_blocked,2010
2024,automatic_ball,2249
2024,automatic_strike,138
2024,ball,235786
2024,blocked_ball,15023
2024,bunt_foul_tip,16
2024,called_strike,116208
2024,foul,128707
2024,foul_bunt,1233
2024,foul_tip,7352
2024,hit_by_pitch,2020
2024,hit_into_play,124207
2024,missed_bunt,202
2024,pitchout,54
2024,swinging_strike,74769
2024,swinging_strike_blocked,3935
2025,automatic_ball,2348
2025,automatic_strike,96
2025,ball,238212
2025,blocked_ball,15139
2025,bunt_foul_tip,33
2025,called_strike,115574
2025,foul,127371
2025,foul_bunt,1247
2025,foul_tip,7303
2025,hit_by_pitch,1928
2025,hit_into_play,124899
2025,missed_bunt,208
2025,pitchout,54
2025,swinging_strike,74119
2025,swinging_strike_blocked,3997
2026,automatic_ball,2146
2026,automatic_strike,87
2026,ball,232182
2026,blocked_ball,14387
2026,bunt_foul_tip,28
2026,called_strike,111457
2026,foul,124357
2026,foul_bunt,1487
2026,foul_tip,7229
2026,hit_by_pitch,2048
2026,hit_into_play,120072
2026,missed_bunt,249
2026,pitchout,39
2026,swinging_pitchout,1
2026,swinging_strike,70950
2026,swinging_strike_blocked,3770
