partition,rows,first_date,last_date,source_csv_sha256,parquet_sha256,sha256_verified
statcast_2023-07-14_2023-07-17.parquet,16885,2023-07-14,2023-07-17,26283a3dd6d2d4ed3e47495677ef21afbf08aacb1fe09c79178a27ab3165dad0,630182c1e4c7027f589f58c5dc40cf379cf673868d15e677ccf4f4c753e67967,True
statcast_2023-07-18_2023-07-21.parquet,16008,2023-07-18,2023-07-21,3be791d83ca5ca09e0de1cf29226bf5ae54a74e43d09953313d07a1f53ff23c0,a694d216d6d75e64adb63b35cbb9fec3c1dd3071dfd5b39fa1db1e76c7b8aa5c,True
statcast_2023-07-22_2023-07-25.parquet,16357,2023-07-22,2023-07-25,6fa2d555d7ce0b67cc2b3d6b71430634bafd639efaac6f4ec6775873ab782dd5,9b253dec0172b73e8596853db7bb67a8acfc0eabb0bbfbafb5deb6f6653ea20d,True
statcast_2023-07-26_2023-07-29.parquet,14480,2023-07-26,2023-07-29,6acf1a7ceb4b012f797d5fcaa60e110ae6745aab29de80c8333ce6978aed67d3,5018d3b28863b730cd94ec2dbe5d45d3883412c0ed400916196b20dc1cf2599a,True
statcast_2023-07-30_2023-08-02.parquet,16011,2023-07-30,2023-08-02,b6c7f2e71bfb06d4d47cb5775500f3c834b143b06ea74027a9722a289cc8cd20,82786aae9e6e5c12ba3870cdf624411dc883214f1faad5931708e2ffe2eba7a4,True
statcast_2023-08-03_2023-08-06.parquet,16099,2023-08-03,2023-08-06,8be9481db93c2cdecab55c745b7f0b844456a350c9da0c87fa28c7a3f87afb26,6059ecbece2d545cfd1263d4d2318b84062776dee7a5737164bab67163bc11a0,True
statcast_2023-08-07_2023-08-10.parquet,14348,2023-08-07,2023-08-10,61afea489b150f9c3432592526562afc82cbc5ba3e976c065d3fcf5d743fd478,71c22d6adcce22d97055c35108d17e33c62a0da2792853242f6c1b80787522b9,True
statcast_2023-08-11_2023-08-14.parquet,16222,2023-08-11,2023-08-14,5841453ecd1e949628ae2f0b1377756f37e6eabd1d8774ca6e197c8bc6a405aa,53e7cfb82b9559f21b5d616a168859fd5f8c2132ceb55b90f59e1e07c231d2f1,True
statcast_2023-08-15_2023-08-18.parquet,14776,2023-08-15,2023-08-18,894c5eaab5ae2b045506467513b70e308dc376c7a9e47d7fa54a066fdb817603,e8d2a4325447d2eaa1915c98363d107be0893bc654bb43d34c5c7af5a050d746,True
statcast_2023-08-19_2023-08-22.parquet,16194,2023-08-19,2023-08-22,c1dacc060e7a0370e1c27b7b26410906ac76442691ce1450b5ea1f4584dc00ce,6561b9f20e729e454a8bf63850cc64e6036a6726ed98ae537149cd72d22e0531,True
