grouping,group,field,field_in_schema,n_all_pitches,populated_all_pitches,pct_all_pitches,n_swings,populated_swings,pct_swings,n_whiffs,populated_whiffs,pct_whiffs,n_contact,populated_contact,pct_contact
pitch_type,CH,bat_speed,True,257941,125249,48.55722820334883,130155,125249,96.23064807345088,38354,37217,97.03551128956562,91801,88032,95.89438023550942
pitch_type,CH,swing_length,True,257941,125249,48.55722820334883,130155,125249,96.23064807345088,38354,37217,97.03551128956562,91801,88032,95.89438023550942
pitch_type,CH,attack_angle,True,257941,125249,48.55722820334883,130155,125249,96.23064807345088,38354,37217,97.03551128956562,91801,88032,95.89438023550942
pitch_type,CH,attack_direction,True,257941,125249,48.55722820334883,130155,125249,96.23064807345088,38354,37217,97.03551128956562,91801,88032,95.89438023550942
pitch_type,CH,swing_path_tilt,True,257941,125249,48.55722820334883,130155,125249,96.23064807345088,38354,37217,97.03551128956562,91801,88032,95.89438023550942
pitch_type,CH,intercept_ball_minus_batter_pos_x_inches,True,257941,125111,48.503727596620934,130155,125111,96.12462064461603,38354,37103,96.73828023152736,91801,88008,95.86823672944739
pitch_type,CH,intercept_ball_minus_batter_pos_y_inches,True,257941,125111,48.503727596620934,130155,125111,96.12462064461603,38354,37103,96.73828023152736,91801,88008,95.86823672944739
pitch_type,CH,miss_distance,True,257941,37137,14.397478493143781,130155,37137,28.53290307710038,38354,37136,96.82432080095948,91801,1,0.0010893127525843946
pitch_type,CS,bat_speed,True,672,266,39.583333333333336,271,266,98.1549815498155,66,66,100.0,205,200,97.5609756097561
pitch_type,CS,swing_length,True,672,266,39.583333333333336,271,266,98.1549815498155,66,66,100.0,205,200,97.5609756097561
pitch_type,CS,attack_angle,True,672,266,39.583333333333336,271,266,98.1549815498155,66,66,100.0,205,200,97.5609756097561
pitch_type,CS,attack_direction,True,672,266,39.583333333333336,271,266,98.1549815498155,66,66,100.0,205,200,97.5609756097561
pitch_type,CS,swing_path_tilt,True,672,266,39.583333333333336,271,266,98.1549815498155,66,66,100.0,205,200,97.5609756097561
pitch_type,CS,intercept_ball_minus_batter_pos_x_inches,True,672,264,39.285714285714285,271,264,97.41697416974169,66,64,96.96969696969697,205,200,97.5609756097561
pitch_type,CS,intercept_ball_minus_batter_pos_y_inches,True,672,264,39.285714285714285,271,264,97.41697416974169,66,64,96.96969696969697,205,200,97.5609756097561
pitch_type,CS,miss_distance,True,672,66,9.821428571428571,271,66,24.354243542435423,66,66,100.0,205,0,0.0
pitch_type,CU,bat_speed,True,156190,61638,39.46347397400602,64283,61638,95.8853818272327,18959,18191,95.94915343636268,45324,43447,95.85870620421852
pitch_type,CU,swing_length,True,156190,61638,39.46347397400602,64283,61638,95.8853818272327,18959,18191,95.94915343636268,45324,43447,95.85870620421852
pitch_type,CU,attack_angle,True,156190,61638,39.46347397400602,64283,61638,95.8853818272327,18959,18191,95.94915343636268,45324,43447,95.85870620421852
pitch_type,CU,attack_direction,True,156190,61638,39.46347397400602,64283,61638,95.8853818272327,18959,18191,95.94915343636268,45324,43447,95.85870620421852
pitch_type,CU,swing_path_tilt,True,156190,61638,39.46347397400602,64283,61638,95.8853818272327,18959,18191,95.94915343636268,45324,43447,95.85870620421852
pitch_type,CU,intercept_ball_minus_batter_pos_x_inches,True,156190,61457,39.34758947435815,64283,61457,95.60381438327396,18959,18021,95.0524816709742,45324,43436,95.8344365016327
pitch_type,CU,intercept_ball_minus_batter_pos_y_inches,True,156190,61457,39.34758947435815,64283,61457,95.60381438327396,18959,18021,95.0524816709742,45324,43436,95.8344365016327
pitch_type,CU,miss_distance,True,156190,18141,11.61470004481721,64283,18141,28.22052486660548,18959,18141,95.68542644654254,45324,0,0.0
pitch_type,EP,bat_speed,True,2849,1150,40.365040365040365,1284,1150,89.56386292834891,42,41,97.61904761904762,1242,1109,89.2914653784219
pitch_type,EP,swing_length,True,2849,1150,40.365040365040365,1284,1150,89.56386292834891,42,41,97.61904761904762,1242,1109,89.2914653784219
pitch_type,EP,attack_angle,True,2849,1150,40.365040365040365,1284,1150,89.56386292834891,42,41,97.61904761904762,1242,1109,89.2914653784219
pitch_type,EP,attack_direction,True,2849,1150,40.365040365040365,1284,1150,89.56386292834891,42,41,97.61904761904762,1242,1109,89.2914653784219
pitch_type,EP,swing_path_tilt,True,2849,1150,40.365040365040365,1284,1150,89.56386292834891,42,41,97.61904761904762,1242,1109,89.2914653784219
pitch_type,EP,intercept_ball_minus_batter_pos_x_inches,True,2849,1149,40.32994032994033,1284,1149,89.48598130841121,42,41,97.61904761904762,1242,1108,89.2109500805153
pitch_type,EP,intercept_ball_minus_batter_pos_y_inches,True,2849,1149,40.32994032994033,1284,1149,89.48598130841121,42,41,97.61904761904762,1242,1108,89.2109500805153
pitch_type,EP,miss_distance,True,2849,41,1.4391014391014392,1284,41,3.1931464174454827,42,41,97.61904761904762,1242,0,0.0
pitch_type,FA,bat_speed,True,2733,1194,43.688254665203075,1270,1194,94.01574803149606,82,78,95.1219512195122,1188,1116,93.93939393939394
pitch_type,FA,swing_length,True,2733,1194,43.688254665203075,1270,1194,94.01574803149606,82,78,95.1219512195122,1188,1116,93.93939393939394
pitch_type,FA,attack_angle,True,2733,1194,43.688254665203075,1270,1194,94.01574803149606,82,78,95.1219512195122,1188,1116,93.93939393939394
pitch_type,FA,attack_direction,True,2733,1194,43.688254665203075,1270,1194,94.01574803149606,82,78,95.1219512195122,1188,1116,93.93939393939394
pitch_type,FA,swing_path_tilt,True,2733,1194,43.688254665203075,1270,1194,94.01574803149606,82,78,95.1219512195122,1188,1116,93.93939393939394
pitch_type,FA,intercept_ball_minus_batter_pos_x_inches,True,2733,1193,43.65166483717527,1270,1193,93.93700787401575,82,78,95.1219512195122,1188,1115,93.85521885521885
pitch_type,FA,intercept_ball_minus_batter_pos_y_inches,True,2733,1193,43.65166483717527,1270,1193,93.93700787401575,82,78,95.1219512195122,1188,1115,93.85521885521885
pitch_type,FA,miss_distance,True,2733,78,2.854006586169045,1270,78,6.141732283464567,82,78,95.1219512195122,1188,0,0.0
pitch_type,FC,bat_speed,True,191564,90516,47.25104925768934,94591,90516,95.69197915235064,19739,19036,96.43852272151578,74852,71480,95.49511035109282
pitch_type,FC,swing_length,True,191564,90516,47.25104925768934,94591,90516,95.69197915235064,19739,19036,96.43852272151578,74852,71480,95.49511035109282
pitch_type,FC,attack_angle,True,191564,90516,47.25104925768934,94591,90516,95.69197915235064,19739,19036,96.43852272151578,74852,71480,95.49511035109282
pitch_type,FC,attack_direction,True,191564,90516,47.25104925768934,94591,90516,95.69197915235064,19739,19036,96.43852272151578,74852,71480,95.49511035109282
pitch_type,FC,swing_path_tilt,True,191564,90516,47.25104925768934,94591,90516,95.69197915235064,19739,19036,96.43852272151578,74852,71480,95.49511035109282
pitch_type,FC,intercept_ball_minus_batter_pos_x_inches,True,191564,90478,47.23121254515462,94591,90478,95.65180619720692,19739,19007,96.29160545113734,74852,71471,95.48308662427189
pitch_type,FC,intercept_ball_minus_batter_pos_y_inches,True,191564,90478,47.23121254515462,94591,90478,95.65180619720692,19739,19007,96.29160545113734,74852,71471,95.48308662427189
pitch_type,FC,miss_distance,True,191564,18987,9.911570023595248,94591,18987,20.072734192470744,19739,18983,96.17001874461725,74852,4,0.005343878587078502
pitch_type,FF,bat_speed,True,764089,359421,47.03915381585129,374040,359421,96.0915944818736,70180,67833,96.65574237674551,303860,291588,95.96129796616863
pitch_type,FF,swing_length,True,764089,359421,47.03915381585129,374040,359421,96.0915944818736,70180,67833,96.65574237674551,303860,291588,95.96129796616863
pitch_type,FF,attack_angle,True,764089,359421,47.03915381585129,374040,359421,96.0915944818736,70180,67833,96.65574237674551,303860,291588,95.96129796616863
pitch_type,FF,attack_direction,True,764089,359421,47.03915381585129,374040,359421,96.0915944818736,70180,67833,96.65574237674551,303860,291588,95.96129796616863
pitch_type,FF,swing_path_tilt,True,764089,359410,47.03771419298014,374040,359410,96.0886536199337,70180,67833,96.65574237674551,303860,291577,95.95767787797011
pitch_type,FF,intercept_ball_minus_batter_pos_x_inches,True,764089,359139,47.00224712042707,374040,359139,96.01620147577799,70180,67661,96.41065830721003,303860,291478,95.9250970841835
pitch_type,FF,intercept_ball_minus_batter_pos_y_inches,True,764089,359139,47.00224712042707,374040,359139,96.01620147577799,70180,67661,96.41065830721003,303860,291478,95.9250970841835
pitch_type,FF,miss_distance,True,764089,67726,8.863627142911362,374040,67726,18.10661961287563,70180,67720,96.49472784269022,303860,6,0.001974593562824985
pitch_type,FO,bat_speed,True,1695,788,46.48967551622419,822,788,95.86374695863746,343,329,95.91836734693878,479,459,95.82463465553236
pitch_type,FO,swing_length,True,1695,788,46.48967551622419,822,788,95.86374695863746,343,329,95.91836734693878,479,459,95.82463465553236
pitch_type,FO,attack_angle,True,1695,788,46.48967551622419,822,788,95.86374695863746,343,329,95.91836734693878,479,459,95.82463465553236
pitch_type,FO,attack_direction,True,1695,788,46.48967551622419,822,788,95.86374695863746,343,329,95.91836734693878,479,459,95.82463465553236
pitch_type,FO,swing_path_tilt,True,1695,788,46.48967551622419,822,788,95.86374695863746,343,329,95.91836734693878,479,459,95.82463465553236
pitch_type,FO,intercept_ball_minus_batter_pos_x_inches,True,1695,781,46.07669616519174,822,781,95.01216545012166,343,323,94.16909620991254,479,458,95.61586638830897
pitch_type,FO,intercept_ball_minus_batter_pos_y_inches,True,1695,781,46.07669616519174,822,781,95.01216545012166,343,323,94.16909620991254,479,458,95.61586638830897
pitch_type,FO,miss_distance,True,1695,328,19.35103244837758,822,328,39.90267639902677,343,328,95.6268221574344,479,0,0.0
pitch_type,FS,bat_speed,True,74407,36983,49.70365691400003,38614,36983,95.77614336769048,12665,12199,96.32056849585472,25949,24784,95.51042429380708
pitch_type,FS,swing_length,True,74407,36983,49.70365691400003,38614,36983,95.77614336769048,12665,12199,96.32056849585472,25949,24784,95.51042429380708
pitch_type,FS,attack_angle,True,74407,36983,49.70365691400003,38614,36983,95.77614336769048,12665,12199,96.32056849585472,25949,24784,95.51042429380708
pitch_type,FS,attack_direction,True,74407,36983,49.70365691400003,38614,36983,95.77614336769048,12665,12199,96.32056849585472,25949,24784,95.51042429380708
pitch_type,FS,swing_path_tilt,True,74407,36983,49.70365691400003,38614,36983,95.77614336769048,12665,12199,96.32056849585472,25949,24784,95.51042429380708
pitch_type,FS,intercept_ball_minus_batter_pos_x_inches,True,74407,36932,49.63511497574153,38614,36932,95.64406691873414,12665,12151,95.94157125937623,25949,24781,95.4988631546495
pitch_type,FS,intercept_ball_minus_batter_pos_y_inches,True,74407,36932,49.63511497574153,38614,36932,95.64406691873414,12665,12151,95.94157125937623,25949,24781,95.4988631546495
pitch_type,FS,miss_distance,True,74407,12182,16.372115526764954,38614,12182,31.54814316051173,12665,12182,96.18634030793525,25949,0,0.0
pitch_type,KC,bat_speed,True,41383,17651,42.65278012710533,18486,17651,95.4830682678784,6149,5886,95.7228817693934,12337,11765,95.36354056902002
pitch_type,KC,swing_length,True,41383,17651,42.65278012710533,18486,17651,95.4830682678784,6149,5886,95.7228817693934,12337,11765,95.36354056902002
pitch_type,KC,attack_angle,True,41383,17651,42.65278012710533,18486,17651,95.4830682678784,6149,5886,95.7228817693934,12337,11765,95.36354056902002
pitch_type,KC,attack_direction,True,41383,17651,42.65278012710533,18486,17651,95.4830682678784,6149,5886,95.7228817693934,12337,11765,95.36354056902002
pitch_type,KC,swing_path_tilt,True,41383,17651,42.65278012710533,18486,17651,95.4830682678784,6149,5886,95.7228817693934,12337,11765,95.36354056902002
pitch_type,KC,intercept_ball_minus_batter_pos_x_inches,True,41383,17611,42.556122079114616,18486,17611,95.26668830466299,6149,5851,95.15368352577654,12337,11760,95.32301207749047
pitch_type,KC,intercept_ball_minus_batter_pos_y_inches,True,41383,17611,42.556122079114616,18486,17611,95.26668830466299,6149,5851,95.15368352577654,12337,11760,95.32301207749047
pitch_type,KC,miss_distance,True,41383,5878,14.203900152236425,18486,5878,31.79703559450395,6149,5878,95.59277931370954,12337,0,0.0
pitch_type,KN,bat_speed,True,1675,671,40.059701492537314,721,671,93.06518723994452,181,170,93.92265193370166,540,501,92.77777777777777
pitch_type,KN,swing_length,True,1675,671,40.059701492537314,721,671,93.06518723994452,181,170,93.92265193370166,540,501,92.77777777777777
pitch_type,KN,attack_angle,True,1675,671,40.059701492537314,721,671,93.06518723994452,181,170,93.92265193370166,540,501,92.77777777777777
pitch_type,KN,attack_direction,True,1675,671,40.059701492537314,721,671,93.06518723994452,181,170,93.92265193370166,540,501,92.77777777777777
