season,distortion_bin,n,deviation,whiff_rate,miss_distance_whiffs
2025,"(-1.9049999999999998, -0.855]",36299,-1.0874943612546764,0.15570676878150913,1.5664061
2025,"(-0.855, -0.595]",35239,-0.7180696790070967,0.18610062714605977,1.8646481
2025,"(-0.595, -0.383]",34598,-0.48721533772076453,0.1976703855714203,2.0948343
2025,"(-0.383, -0.186]",34357,-0.28472079999206473,0.21253310824577235,2.2503185
2025,"(-0.186, 0.0162]",33485,-0.08622289775132448,0.21890398685978796,2.4982224
2025,"(0.0162, 0.237]",32581,0.12427556272521594,0.22798563580000614,2.7263129
2025,"(0.237, 0.498]",31913,0.36211777250216853,0.24200169210039796,2.907458
2025,"(0.498, 0.843]",30836,0.6586995893889782,0.2517187702685173,3.3228323
2025,"(0.843, 1.412]",29751,1.0920991361504815,0.27928472992504455,3.9639392
2025,"(1.412, 38.652]",29023,2.47141212295045,0.41949488336836305,5.9332056
2026,"(-1.9049999999999998, -0.855]",28181,-1.0814687712845,0.13934920691245875,1.5821909
2026,"(-0.855, -0.595]",29240,-0.7167466000470464,0.1722298221614227,1.8540921
2026,"(-0.595, -0.383]",29882,-0.4865158750757391,0.18977980054882537,2.044841
2026,"(-0.383, -0.186]",30122,-0.2840367562383784,0.19998672066927828,2.3068929
2026,"(-0.186, 0.0162]",30995,-0.08546734883053733,0.20922729472495563,2.3836236
2026,"(0.0162, 0.237]",31898,0.12468434805674401,0.22252178819988713,2.5807214
2026,"(0.237, 0.498]",32566,0.3636810329214473,0.24006632684394769,2.9123113
2026,"(0.498, 0.843]",33644,0.6617782256554169,0.25112947330876234,3.0934858
2026,"(0.843, 1.412]",34728,1.0959340648135745,0.27009905551716196,3.6509116
2026,"(1.412, 38.652]",35457,2.3863815496985454,0.38697577347209294,5.3399086
