bin_low,bin_high,mean_probability,empirical_frequency,n_comparisons,n_independent_experiments,frequency_ci90_low,frequency_ci90_high,calibration_error,calibration_error_ci90_low,calibration_error_ci90_high
0.0,0.1,0.03347168268247802,0.04375383357186669,4891,60,0.03720512068486459,0.05106111807421702,0.01028215088938867,0.0029320347069566304,0.01786958426083223
0.1,0.2,0.14727028181041846,0.1609735269000854,2342,60,0.14644598522425817,0.1779584036757423,0.013703245089666943,-0.0007719997833619326,0.0312761326918078
0.2,0.3,0.24846812652068131,0.2632603406326034,2055,60,0.2428746257123539,0.28638399355192773,0.01479221411192208,-0.005303814383050724,0.03763943823714671
0.3,0.4,0.34969670886075954,0.3539240506329114,1975,60,0.3326664095657936,0.37581502413205836,0.004227341772151838,-0.016871994264508354,0.026503327021574274
0.4,0.5,0.44932263242375603,0.46013911182450506,1869,60,0.4396137275140834,0.4783511781011781,0.010816479400749035,-0.01010483869384022,0.02871624611036375
0.5,0.6,0.5508024300052826,0.572107765451664,1893,60,0.5518070535533568,0.5963675210535581,0.021305335446381357,0.0006401710739718582,0.045240171675724215
0.6,0.7,0.6500710997442456,0.6537084398976982,1955,60,0.6311270189081284,0.6777392281411574,0.0036373401534526284,-0.01847764735756685,0.027644725880593687
0.7,0.8,0.7502285849503078,0.7534311405584477,2113,60,0.7345602872900174,0.7718389005864608,0.0032025556081399786,-0.01587942311214274,0.022389386523824824
0.8,0.9,0.8504716652136007,0.8548387096774194,2294,60,0.8396934072722124,0.8722982419712071,0.004367044463818637,-0.010902024168609551,0.021861321117109634
0.9,1.0,0.9656223212391256,0.9579885423297263,4713,60,0.9506253722920344,0.9657437153602795,-0.007633778909399314,-0.014257856689417179,-0.0001762099159238725
