stage,specification,x,y,restriction,high_information,negative_control,method,endpoint,estimate,ci90_low,ci90_high,permutation_p_positive,permutation_p_two_sided,permutation_null_mean,permutations,bootstrap_replicates,shared_players,median_n_a,median_n_b,min_n_a,min_n_b,median_games_a,median_games_b,median_information_a,median_information_b,median_se_a,median_se_b,median_shrinkage_a,median_shrinkage_b,score_se_spearman_a,score_se_spearman_b,se_stability_spearman,top_quartile_baseline_n,status,bh_q_positive,bh_q_two_sided,by_q_positive,family_tests
discovery,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,spearman,-0.013209710240463156,-0.0959566532792271,0.07505973376401483,0.5962,0.7994,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,53.493913453153894,54.48835489674421,0.11967460522580262,0.1192047413372907,0.14108237853096983,0.2336108428671013,0.03923313557459899,-0.05573858588174601,0.3627888758323541,83,ok,0.7046,0.8662841379310345,1.0,156
discovery,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,spearman,-0.06848136577723005,-0.1448983747114302,0.016701313467673486,0.9047,0.1886,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,53.493913453153894,54.48835489674421,0.11967460522580262,0.1192047413372907,0.14108237853096983,0.2336108428671013,0.0058541839824978745,-0.030279776064505652,0.3627888758323541,96,ok,0.9105367741935483,0.5349381818181818,1.0,156
discovery,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,spearman,-0.02517411366828122,-0.11207175311500678,0.062397120598965114,0.6852,0.6303,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,17.675372933583375,16.343598170829072,0.21088362954605352,0.2051839804341313,0.19810183277466858,0.21681670550669,-0.03669069387521137,0.01261070190020349,0.3004583321391381,83,ok,0.7802277372262774,0.7525818181818182,1.0,156
discovery,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,spearman,-0.05482407115493011,-0.14004207395126164,0.036516777485776475,0.8592,0.2852,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,17.675372933583375,16.343598170829072,0.21088362954605352,0.2051839804341313,0.19810183277466858,0.21681670550669,0.006505259235906107,0.018654762928357837,0.3004583321391381,93,ok,0.8818105263157895,0.62855,1.0,156
discovery,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,unpooled,spearman,-0.011240721102863203,-0.09294065437971541,0.07606274033867468,0.58,0.8285,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,94.32682094805693,88.60065730110864,0.09426174398029448,0.09905243006221155,0.1512687272977863,0.24409024827650402,0.13819012543826967,-0.12282011598024323,0.3782226553170349,83,ok,0.6983999999999999,0.8806040816326531,1.0,156
discovery,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,pooled,spearman,-0.006324935752295243,-0.09222126094376407,0.082033599388809,0.5459,0.9053,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,94.32682094805693,88.60065730110864,0.09426174398029448,0.09905243006221155,0.1512687272977863,0.24409024827650402,0.05498003305532468,-0.07395316843885243,0.3782226553170349,101,ok,0.6758761904761905,0.9053,1.0,156
discovery,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,unpooled,spearman,-0.036110076141889505,-0.12275110014776713,0.05393991645589302,0.7552,0.493,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,30.65579793140214,30.49812547284944,0.15951368376927968,0.15958968732008796,0.1989404710069603,0.2657303016315639,0.05337837837837838,-0.05856285766147908,0.3281660504619147,85,ok,0.8181333333333334,0.7395,1.0,156
discovery,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,pooled,spearman,-0.06342944216751216,-0.15843925324889258,0.015012621079912757,0.8846,0.2214,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,30.65579793140214,30.49812547284944,0.15951368376927968,0.15958968732008796,0.1989404710069603,0.2657303016315639,0.05200099357045274,-0.04221289157662434,0.3281660504619147,96,ok,0.8960883116883117,0.57072,1.0,156
discovery,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,unpooled,spearman,-0.02834517975026989,-0.11633087955568312,0.057905815565314364,0.7023,0.5872,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,48.8276162748292,44.130475182916655,0.12458089847988953,0.13255786228447256,0.2030490883102085,0.1661002024365396,-0.041306736216598354,-0.19820034774965845,0.3913826870348609,80,ok,0.7825628571428572,0.7423103999999999,1.0,156
discovery,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,spearman,-0.008829402042551565,-0.0959513815049285,0.08238144439659018,0.5644,0.8609,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,48.8276162748292,44.130475182916655,0.12458089847988953,0.13255786228447256,0.2030490883102085,0.1661002024365396,-0.02704087969199316,-0.13371786420566908,0.3913826870348609,90,ok,0.6878625,0.8877631578947368,1.0,156
discovery,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,spearman,-0.027577388663063383,-0.11343189213760982,0.06310277788162828,0.6992,0.5948,0.0,9999,500,367,415.0,385.0,45,43,62.0,59.0,13.692415997322993,13.284024243178544,0.2334088616186459,0.23938899482204753,0.21106478880444435,0.22297769710875148,0.016350715962874417,-0.040718021522583955,0.3184706865980062,85,ok,0.7825628571428572,0.7423103999999999,1.0,156
discovery,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,pooled,spearman,-0.030948182271931884,-0.11799678874160015,0.04968653594582628,0.7289,0.5535,0.0,9999,500,367,415.0,385.0,45,43,62.0,59.0,13.692415997322993,13.284024243178544,0.2334088616186459,0.23938899482204753,0.21106478880444435,0.22297769710875148,0.03015749629540436,-0.03869894406885984,0.3184706865980062,97,ok,0.8013818181818182,0.7423103999999999,1.0,156
discovery,distortion__log_kernel_h0.5_m20,log_kernel_h0.5_m20,distortion,all,False,False,unpooled,spearman,-0.024095277674280855,-0.1156971103849238,0.06764821556048535,0.6744,0.645,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,23.826901350719588,23.526818732466708,0.17687322595213825,0.18301955595136765,0.20822894927880492,0.23889609578072776,0.019486639343479214,-0.03755529124033896,0.32581874026730867,87,ok,0.7786235294117647,0.753689552238806,1.0,156
discovery,distortion__log_kernel_h0.5_m20,log_kernel_h0.5_m20,distortion,all,False,False,pooled,spearman,-0.038669475413908076,-0.12714614634035737,0.04923573788483175,0.768,0.4634,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,23.826901350719588,23.526818732466708,0.17687322595213825,0.18301955595136765,0.20822894927880492,0.23889609578072776,0.032580273805088225,-0.036098850706485906,0.32581874026730867,96,ok,0.8262620689655172,0.723684,1.0,156
discovery,distortion__log_kernel_h1_m5,log_kernel_h1_m5,distortion,all,False,False,unpooled,spearman,-0.03165973668977301,-0.1259916980722863,0.05196389205783727,0.7346,0.535,0.0,9999,500,368,415.0,384.5,45,40,61.5,58.5,17.397156121097638,16.921846256584256,0.21094531235657454,0.21564136170850345,0.2061175293667551,0.24580639088191825,0.0807503638358265,-0.0512565459145884,0.3162443666848705,87,ok,0.8013818181818182,0.7423103999999999,1.0,156
discovery,distortion__log_kernel_h1_m5,log_kernel_h1_m5,distortion,all,False,False,pooled,spearman,-0.045394960524655595,-0.13186575526527108,0.03893899980227811,0.7969,0.3873,0.0,9999,500,368,415.0,384.5,45,40,61.5,58.5,17.397156121097638,16.921846256584256,0.21094531235657454,0.21564136170850345,0.2061175293667551,0.24580639088191825,0.06202233003256463,-0.04027790218667499,0.3162443666848705,99,ok,0.8399756756756757,0.67496,1.0,156
discovery,distortion__log_kernel_h2_m5,log_kernel_h2_m5,distortion,all,False,False,unpooled,spearman,-0.013486763539785809,-0.10042656472362221,0.0799163209970383,0.6011,0.8017,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,21.59658163134231,20.844891007630643,0.19161524280342013,0.19268631457789287,0.2080415232612591,0.24836349310570519,0.11352856037373533,-0.07714166977157433,0.3374807734563832,85,ok,0.7050496240601504,0.8662841379310345,1.0,156
discovery,distortion__log_kernel_h2_m5,log_kernel_h2_m5,distortion,all,False,False,pooled,spearman,-0.04057708291536499,-0.12650274927333008,0.0413869899444704,0.7807,0.4408,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,21.59658163134231,20.844891007630643,0.19161524280342013,0.19268631457789287,0.2080415232612591,0.24836349310570519,0.08207393501667097,-0.03844854929160337,0.3374807734563832,97,ok,0.8284979591836734,0.7163,1.0,156
discovery,distortion__log_kernel_h2_m20,log_kernel_h2_m20,distortion,all,False,False,unpooled,spearman,-0.024303306487823986,-0.10116015989535218,0.05479238655810183,0.6788,0.6368,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,38.446198621720285,38.241086936091804,0.1453513257926928,0.14554954742800516,0.21244263179183953,0.25876422812431077,0.09264948936210865,-0.08035238313605228,0.36096916110171673,85,ok,0.7786235294117647,0.7525818181818182,1.0,156
discovery,distortion__log_kernel_h2_m20,log_kernel_h2_m20,distortion,all,False,False,pooled,spearman,-0.05608251411538792,-0.13804620729423236,0.024841019972079867,0.8575,0.2867,0.0,9999,500,369,415.0,384.0,45,40,61.0,58.0,38.446198621720285,38.241086936091804,0.1453513257926928,0.14554954742800516,0.21244263179183953,0.25876422812431077,0.05201221900585633,-0.035559790968062444,0.36096916110171673,98,ok,0.8818105263157895,0.62855,1.0,156
