stage,specification,x,y,restriction,high_information,negative_control,method,bins,baseline_group,n,mean_followup_percentile,mean_percentile_ci90_low,mean_percentile_ci90_high,top_quartile_followup_rate
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,4,1,105,0.5198372411570381,0.4777729433566997,0.5637216984932721,0.24761904761904763
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,4,2,130,0.5007939606924378,0.4621840426916569,0.5410907197709228,0.2153846153846154
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,4,3,125,0.4731573604060914,0.43601489001692045,0.513034856175973,0.216
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,4,4,105,0.4860929820320683,0.43964386431391506,0.5361413262428492,0.24761904761904763
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,10,1,34,0.5346869712351945,0.4504279884542649,0.6162560963471683,0.3235294117647059
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,10,2,48,0.47817963902989274,0.4217710095882684,0.5426184433164128,0.14583333333333334
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,10,3,49,0.5309057633205567,0.4688162574674539,0.5874391380917849,0.2653061224489796
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,10,4,54,0.51347371059723,0.45378203923043176,0.5780049508052892,0.2037037037037037
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,10,5,50,0.496243654822335,0.43018443316412863,0.5651184433164129,0.24
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,10,6,51,0.46015394313393715,0.40420523539364994,0.5218771772668458,0.1568627450980392
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,10,7,53,0.49543466462343966,0.4351035979950835,0.5581074609711714,0.2641509433962264
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,10,8,43,0.4373548970999095,0.36800062959902413,0.5148093495455083,0.23255813953488372
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,10,9,45,0.5520398571159992,0.48562135739800716,0.6240571536003008,0.3111111111111111
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,unpooled,10,10,38,0.44238133404577434,0.37091014337875144,0.5188885920384718,0.18421052631578946
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,4,1,118,0.5171499039261234,0.47290143107057847,0.5605265422008088,0.2542372881355932
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,4,2,117,0.5028490028490028,0.45684049922628606,0.5505980013594227,0.27350427350427353
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,4,3,113,0.5069179282152644,0.46361648922630005,0.5520506715780962,0.25663716814159293
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,4,4,117,0.4587111516045526,0.4119245954271335,0.5030109766150376,0.23931623931623933
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,10,1,47,0.465259027252763,0.39779853835907414,0.5296486301616445,0.19148936170212766
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,10,2,46,0.5725373353932169,0.4993654822335026,0.6448337379533583,0.34782608695652173
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,10,3,43,0.4952780073190886,0.4240546177153425,0.5638433085428718,0.23255813953488372
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,10,4,54,0.5207119132669048,0.4569514946418501,0.5780958200162938,0.25925925925925924
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,10,5,45,0.4941718368114308,0.40975559315660853,0.5713179169016732,0.28888888888888886
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,10,6,39,0.5172675604147685,0.4504859212981041,0.5859993925983774,0.2564102564102564
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,10,7,48,0.49266779469825156,0.4247356175972927,0.5565126198533559,0.25
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,10,8,48,0.5261914833615341,0.4514347151720249,0.5964290750141004,0.375
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,10,9,45,0.4380710659898477,0.36227110359090053,0.5098101146832111,0.17777777777777778
full_year,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,pooled,10,10,50,0.44318104906937394,0.3735211505922165,0.5183164128595601,0.18
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,4,1,111,0.49959535806993427,0.45069628950984875,0.5469491525423729,0.27927927927927926
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,4,2,121,0.5217187281131811,0.4825479759069898,0.5583555119764674,0.2066115702479339
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,4,3,129,0.49853501510970966,0.46170411246879517,0.5380344238602023,0.2248062015503876
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,4,4,103,0.4974905380944545,0.44659947342438705,0.5444232351489221,0.24271844660194175
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,1,39,0.5551716644936985,0.4749891351586267,0.6364841373315949,0.41025641025641024
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,2,47,0.44523981247746114,0.3769834114677245,0.5147349441038588,0.1702127659574468
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,3,49,0.52564856451055,0.4579194050501556,0.5870044967139397,0.24489795918367346
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,4,51,0.5080923894981721,0.44332003988035884,0.5675141242937853,0.21568627450980393
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,5,46,0.5290346352247606,0.4728058216654385,0.5890825350036845,0.1956521739130435
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,6,53,0.4977454429165335,0.4352974096578191,0.555919411576591,0.22641509433962265
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,7,52,0.5017601043024771,0.4496414602346806,0.5566313559322035,0.21153846153846154
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,8,47,0.47419761990623877,0.4083014785430941,0.538166245943022,0.2127659574468085
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,9,42,0.574455205811138,0.510318805488297,0.6464951573849879,0.30952380952380953
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,unpooled,10,10,38,0.4385816235504015,0.35898974130240857,0.5199620874219448,0.21052631578947367
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,4,1,122,0.4865101417060295,0.4429938871908863,0.5303042511808836,0.2540983606557377
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,4,2,111,0.5439227362956176,0.4982959230416857,0.5851755993281417,0.2882882882882883
full_year,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,pooled,4,3,110,0.4718489984591679,0.42439907550077044,0.5155385208012326,0.23636363636363636
