period,specification,x,y,restriction,high_information,negative_control,status,eligible_players,analytic_swings,players,mu_mean,tau_mean,median_shrinkage,quadrature_max_mean_difference,mu_prior_sd,tau_halfnormal_scale
2025_early,distortion__log_exposure_pitcher,log_exposure_pitcher,distortion,all,False,False,ok,497,170259,497,0.0442731678366235,0.047738762463243045,0.11529519094111793,1.2449583308704604e-09,0.2,0.15
2025_early,distortion__log_exposure_pa,log_exposure_pa,distortion,all,False,False,ok,497,170259,497,0.04665691727017304,0.10450405983938375,0.17135316240629095,2.7977953287461332e-11,0.2,0.15
2025_early,distortion__log_exposure_type,log_exposure_type,distortion,all,False,False,ok,497,170259,497,0.03112239690739105,0.03922074806644256,0.12985050965319375,9.908393827640083e-10,0.2,0.15
2025_early,distortion__log_kernel_exposure,log_kernel_exposure,distortion,all,False,False,ok,497,170259,497,0.07247769429693127,0.0792190502667505,0.17114958290750454,5.505634836922013e-11,0.2,0.15
2025_early,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,ok,497,170259,497,0.030324148198873295,0.06273584411122392,0.18052570511906074,7.567141357966989e-12,0.2,0.15
2025_early,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,ok,496,170259,496,0.10952089809525992,0.12044935873711624,0.17622292705743986,1.9983403820589274e-11,0.2,0.15
2025_early,distortion__log_kernel_h0.5_m20,log_kernel_h0.5_m20,distortion,all,False,False,ok,497,170259,497,0.08177371821801205,0.09047303269169836,0.17825366728763078,2.3368779134003148e-11,0.2,0.15
2025_early,distortion__log_kernel_h1_m5,log_kernel_h1_m5,distortion,all,False,False,ok,496,170259,496,0.10116144994071354,0.10718459864478114,0.17503640764623613,3.672012693911597e-11,0.2,0.15
2025_early,distortion__log_kernel_h2_m5,log_kernel_h2_m5,distortion,all,False,False,ok,497,170259,497,0.09483516850881789,0.09794952263934029,0.17208670107646204,2.8790247963428328e-11,0.2,0.15
2025_early,distortion__log_kernel_h2_m20,log_kernel_h2_m20,distortion,all,False,False,ok,497,170259,497,0.06649214191281465,0.0753309988116547,0.18056899056686687,1.220357148667972e-11,0.2,0.15
2025_early,distortion__linear_exposure_pitcher,linear_exposure_pitcher,distortion,all,False,False,ok,497,170259,497,0.01322260363598637,0.0207759832102343,0.1886065580058025,7.980005545249469e-13,0.2,0.15
2025_early,distortion__saturating_exposure_pitcher,saturating_exposure_pitcher,distortion,all,False,False,ok,493,170259,493,0.09787388053216192,0.09954479386184627,0.10932431801429933,2.2440032887427463e-09,0.2,0.15
2025_early,absz_attack_angle__log_exposure_pitcher,log_exposure_pitcher,absz_attack_angle,all,False,False,ok,497,170259,497,0.024682547110734532,0.031763704490888625,0.10658034110236701,2.1432638927509906e-09,0.2,0.15
2025_early,absz_attack_angle__log_exposure_pa,log_exposure_pa,absz_attack_angle,all,False,False,ok,497,170259,497,0.024238744619327575,0.06595653300987044,0.14318262859661127,4.537954040317871e-10,0.2,0.15
2025_early,absz_attack_angle__log_exposure_type,log_exposure_type,absz_attack_angle,all,False,False,ok,497,170259,497,0.013346369634989422,0.014391036115237815,0.0447381855052411,1.0453227571082316e-08,0.2,0.15
2025_early,absz_attack_angle__log_kernel_exposure,log_kernel_exposure,absz_attack_angle,all,False,False,ok,497,170259,497,0.04132427774442392,0.053341767474699917,0.16113728607066216,1.0176656739524503e-10,0.2,0.15
