specification,season,players,mu_median,mu_low,mu_high,p_mu_positive,tau_median,tau_low,tau_high
exposure_pitcher,2025,587,0.03507535911576789,0.027639882313133975,0.04273464504080779,1.0,0.03606475207335982,0.019250902709812882,0.04923672592701188
exposure_pa,2025,587,0.0306699034762265,0.0179620724304717,0.0442571876508774,0.9996666666666668,0.0738829082267113,0.0516532385226356,0.0948265896742824
exposure_type,2025,587,0.025307777439332,0.0195264360709605,0.0314782234329591,1.0,0.0320916199463365,0.0211373097125687,0.0419622673237586
kernel_exposure,2025,587,0.0553185590557591,0.0454185270076741,0.0658223774501605,1.0,0.0589084169371552,0.0422437230841841,0.0747887871412338
exposure_sequence,2025,587,0.0252815685101629,0.0176140034173651,0.0334357615947567,1.0,0.0446305553197684,0.030875336104091,0.0575046990375528
future_exposure,2025,587,-0.0459256428353581,-0.0522851951136228,-0.0392669973892178,0.0,0.0487370286163091,0.0408362878646167,0.0572184593657853
irrelevant_exposure,2025,587,-0.0051978887956179,-0.0113277329927628,0.0013526619397162,0.0966666666666666,0.0311919096125548,0.0171533049610663,0.0424385679145545
kernel_h0.5_m5,2025,586,0.0765921528150201,0.0617939286406822,0.0922321373578141,1.0,0.0910690348651841,0.0675495910085736,0.114059183108803
kernel_h0.5_m20,2025,587,0.0568102350055757,0.0455855472525005,0.0686155121194854,1.0,0.0689844695705498,0.0514182057964787,0.0862398996439332
kernel_h1_m5,2025,586,0.0764816556945921,0.0632791783203157,0.0905018157743046,1.0,0.0804210069878203,0.0587067443248924,0.1013786856572145
kernel_h2_m5,2025,587,0.0778690201426661,0.0659886111162693,0.090577399408909,1.0,0.0676564975831024,0.0460255558889014,0.0874831300235515
kernel_h2_m20,2025,587,0.0555381033621348,0.0465585713173523,0.0651127986267007,1.0,0.0516221240106841,0.0358061837529323,0.0663379374650977
linear_exposure_pitcher,2025,587,0.0110584521521003,0.008586894942219,0.0136874970907685,1.0,0.0149197081257594,0.0109413134564188,0.018823101189019
saturating_exposure_pitcher,2025,582,0.0763986385249752,0.060719750018818,0.0930543478963421,1.0,0.0779092465498399,0.0421081920617673,0.1065820995472779
component:attack_angle,2025,587,0.0232123250296628,0.0183501556933552,0.0283969168343424,1.0,0.0219195311662195,0.0081697704182126,0.0319134798654153
component:attack_direction,2025,587,0.023242515464283,0.0183377447561801,0.0284831020246398,1.0,0.0233893308562492,0.0094506480887161,0.0335776925533894
component:swing_path_tilt,2025,587,0.0131709622268571,0.0076480724429784,0.0189585339280436,0.9996666666666668,0.037709770942732,0.0299476686165513,0.0457683023057138
component:bat_speed,2025,587,0.0115786588969628,0.0063437945819669,0.0171926289856488,0.9993333333333332,0.0170634291015149,0.0029251696803337,0.029342960552326
component:swing_length,2025,587,0.0224128194560151,0.017280010167642,0.0278890425680562,1.0,0.0266517438047017,0.0149467488945484,0.0362397717388231
shuffled_within_batter_game,2025,587,0.0074526071639678,0.0005469370945959,0.0148494881814486,0.9656666666666668,0.0184324497388385,0.0024540634982657,0.036051307819392
similar_shape_recent,2025,551,0.0391887788381916,0.0290156983187829,0.0497974590273194,1.0,0.0539649305675366,0.0329913224100347,0.0719443732240032
competitive_swing_speed_50,2025,587,0.0203992262397177,0.0140515216440856,0.0271199946129417,1.0,0.036376069930035,0.0256934402946124,0.0465058146196538
early_in_game,2025,574,0.0350370897203201,0.0266389987536781,0.0439864824835812,1.0,0.0496105826758448,0.0353232173846174,0.0632238314659936
first_three_innings,2025,490,0.0293350680973706,0.0156305346717476,0.0438887497282496,0.999,0.0767217129758217,0.0527209102286415,0.099505187660852
prior_tau_scale:0.075,2025,587,0.0350565142984525,0.0278215518978239,0.042746151903953,1.0,0.0358082987256781,0.019278107766206,0.0490197370682884
prior_tau_scale:0.3,2025,587,0.0350559759008618,0.0278069940122848,0.0427604960414491,1.0,0.0362469913612252,0.0199323111827315,0.0494326495380387
exposure_pitcher,2026,591,0.029821490787827514,0.022368184756293517,0.037352458672018474,1.0,0.045755107547097475,0.03337534572621721,0.057544770516367715
exposure_pa,2026,590,0.0289348150801909,0.0161367834612694,0.0425425115391464,0.9996666666666668,0.0837712534487201,0.0638213518778264,0.103777450242183
exposure_type,2026,591,0.0188213938766711,0.0128423429023917,0.0251749321926603,1.0,0.0371564318499546,0.027809316746073,0.0463898097079249
kernel_exposure,2026,591,0.0482661311604182,0.0387181930627982,0.0583823690511589,1.0,0.0571149769565654,0.0397890454348599,0.0734137448961971
exposure_sequence,2026,591,0.0231658778699395,0.015674068012215,0.0310795700399071,1.0,0.0338250833301715,0.0128486365694731,0.0491319525253893
future_exposure,2026,591,-0.0558747187291084,-0.062032124976488,-0.0494062136895046,0.0,0.0439787838850915,0.0354621918632488,0.0528651441287396
irrelevant_exposure,2026,591,-0.0040485825954185,-0.0108454553714721,0.0031940814198195,0.1753333333333333,0.0522751636405907,0.0433417162667952,0.0616848351876112
kernel_h0.5_m5,2026,587,0.064890699271601,0.0507639991715278,0.0797888609750533,1.0,0.0769563013233181,0.0468392897887298,0.1028686492450521
kernel_h0.5_m20,2026,591,0.0512093659590151,0.0404723306807139,0.0624679529929292,1.0,0.0604499467572039,0.0390820326297461,0.0795665734623755
kernel_h1_m5,2026,590,0.0629593510358779,0.050407240994947,0.0763342254175826,1.0,0.0716352917000067,0.0472253686185236,0.0937501242795873
kernel_h2_m5,2026,591,0.0638726539229283,0.0522794460984028,0.0761460635724519,1.0,0.0689453580244555,0.0487133629950416,0.0882513947774508
kernel_h2_m20,2026,591,0.0479764790059927,0.0391387319381969,0.0573211384425266,1.0,0.0554365760706064,0.0410382195619628,0.0696080150677591
linear_exposure_pitcher,2026,591,0.0098064020654289,0.0072508454406378,0.0124788421444677,1.0,0.0172184541114123,0.0135851004457534,0.0209637213273086
saturating_exposure_pitcher,2026,584,0.0654227639947351,0.0497901766948367,0.0818122171326885,1.0,0.0958999936725678,0.0689734119863164,0.1216800018229835
component:attack_angle,2026,591,0.0261320625808191,0.0216886901308566,0.0309028789929692,1.0,0.0095287832876091,0.0010995082835535,0.0217498533918395
component:attack_direction,2026,591,0.0258309010533019,0.0207310294308341,0.0312322948134969,1.0,0.0341506203749781,0.0268477787424984,0.0416585519890215
component:swing_path_tilt,2026,591,0.0179735865640004,0.0128339945155877,0.0233383077605324,1.0,0.0304134440103915,0.0219271256555795,0.0386711656475246
component:bat_speed,2026,591,0.0104072267015824,0.0053494412276816,0.0158010591815937,0.999,0.0236627177556066,0.0092680653412388,0.0342214079259778
component:swing_length,2026,591,0.02497335730326,0.0195068444768096,0.030785430662451,1.0,0.0384575838937339,0.030265313827302,0.0468609248333522
shuffled_within_batter_game,2026,591,0.0070113894524025,0.000360522117473,0.0140697464094102,0.9603333333333334,0.0247866293096844,0.0049207187417199,0.040719281584156
similar_shape_recent,2026,538,0.0361754275497888,0.0263103924191108,0.0464807195688742,1.0,0.0512580638954613,0.031427833387974,0.0682433876555541
competitive_swing_speed_50,2026,589,0.0178293491303401,0.0117472770208275,0.0241882817694996,1.0,0.0340417039368684,0.0232643469780866,0.0440779217567979
early_in_game,2026,557,0.0328846824249638,0.0246467110188624,0.0416074166349825,1.0,0.0525964514021122,0.0398522356624245,0.0652777509707113
first_three_innings,2026,496,0.0368613939243447,0.0238031272209828,0.0506775703955908,1.0,0.0676489312554622,0.0412571644932923,0.0907553776698373
